datetime,Latitude,Longitude,AOD
2022-01-01,-6.2,106.75,0.3712
2022-01-03,-6.2,106.75,0.1336
2022-01-04,-6.2,106.75,0.3358
2022-01-05,-6.2,106.75,0.24839999
2022-01-07,-6.2,106.75,0.058
2022-01-08,-6.2,106.75,0.0894
2022-01-12,-6.2,106.75,0.38059998
2022-01-21,-6.2,106.75,0.04
2022-01-22,-6.2,106.75,0.4238
2022-01-23,-6.2,106.75,0.357
2022-01-24,-6.2,106.75,0.25759998
2022-01-25,-6.2,106.75,0.40739998
2022-01-27,-6.2,106.75,0.9572
2022-01-28,-6.2,106.75,0.3594
2022-01-31,-6.2,106.75,0.077
2022-03-02,-6.2,106.75,0.46859998
2022-03-03,-6.2,106.75,0.1096
2022-03-08,-6.2,106.75,0.2834
2022-03-10,-6.2,106.75,0.7276
2022-03-14,-6.2,106.75,0.28599998
2022-03-16,-6.2,106.75,0.419
2022-03-17,-6.2,106.75,0.5198
2022-03-20,-6.2,106.75,0.14999999
2022-03-23,-6.2,106.75,0.5004
2022-03-24,-6.2,106.75,0.1598
2022-03-27,-6.2,106.75,0.15699999
2022-03-28,-6.2,106.75,0.30699998
2022-03-29,-6.2,106.75,0.8616
2022-03-31,-6.2,106.75,0.486
2022-04-02,-6.2,106.75,0.2312
2022-04-03,-6.2,106.75,0.3538
2022-04-04,-6.2,106.75,0.104399994
2022-04-05,-6.2,106.75,0.19399999
2022-04-06,-6.2,106.75,0.3812
2022-04-07,-6.2,106.75,0.6074
2022-04-09,-6.2,106.75,0.34559998
2022-04-10,-6.2,106.75,0.583
2022-04-11,-6.2,106.75,0.44739997
2022-04-12,-6.2,106.75,0.7958
2022-04-13,-6.2,106.75,0.93259996
2022-04-14,-6.2,106.75,0.4026
2022-04-15,-6.2,106.75,0.9496
2022-04-16,-6.2,106.75,0.6058
2022-04-17,-6.2,106.75,1.083
2022-04-18,-6.2,106.75,0.5434
2022-04-19,-6.2,106.75,0.84639996
2022-04-20,-6.2,106.75,0.75479996
2022-04-22,-6.2,106.75,0.70739996
2022-04-23,-6.2,106.75,0.29639998
2022-04-24,-6.2,106.75,0.37539998
2022-04-25,-6.2,106.75,0.52739996
2022-04-26,-6.2,106.75,0.949
2022-04-29,-6.2,106.75,1.829
2022-05-02,-6.2,106.75,0.3918
2022-05-03,-6.2,106.75,0.0712
2022-05-04,-6.2,106.75,0.4876
2022-05-05,-6.2,106.75,0.40379998
2022-05-06,-6.2,106.75,0.34719998
2022-05-07,-6.2,106.75,0.24059999
2022-05-08,-6.2,106.75,0.1832
2022-05-09,-6.2,106.75,0.7374
2022-05-10,-6.2,106.75,0.66819996
2022-05-11,-6.2,106.75,1.0358
2022-05-12,-6.2,106.75,0.7122
2022-05-13,-6.2,106.75,0.1326
2022-05-15,-6.2,106.75,0.4344
2022-05-16,-6.2,106.75,0.23099999
2022-05-17,-6.2,106.75,0.6096
2022-05-18,-6.2,106.75,0.1634
2022-05-19,-6.2,106.75,1.1984
2022-05-20,-6.2,106.75,0.3728
2022-05-21,-6.2,106.75,0.6702
2022-05-23,-6.2,106.75,0.24659999
2022-05-24,-6.2,106.75,0.0504
2022-05-27,-6.2,106.75,0.317
2022-05-30,-6.2,106.75,0.33359998
2022-05-31,-6.2,106.75,0.034199998
2022-06-01,-6.2,106.75,0.43879998
2022-06-02,-6.2,106.75,0.0752
2022-06-03,-6.2,106.75,0.89339995
2022-06-04,-6.2,106.75,0.2188
2022-06-05,-6.2,106.75,0.45499998
2022-06-08,-6.2,106.75,0.2272
2022-06-09,-6.2,106.75,0.3852
2022-06-10,-6.2,106.75,0.022799999
2022-06-11,-6.2,106.75,0.3522
2022-06-12,-6.2,106.75,0.6268
2022-06-14,-6.2,106.75,0.31559998
2022-06-16,-6.2,106.75,1.0224
2022-06-18,-6.2,106.75,0.4818
2022-06-19,-6.2,106.75,0.35979998
2022-06-20,-6.2,106.75,0.5762
2022-06-21,-6.2,106.75,0.58019996
2022-06-22,-6.2,106.75,0.629
2022-06-23,-6.2,106.75,0.5708
2022-06-24,-6.2,106.75,1.8992
2022-06-26,-6.2,106.75,0.46179998
2022-06-27,-6.2,106.75,0.58919996
2022-06-28,-6.2,106.75,0.79219997
2022-06-29,-6.2,106.75,0.3258
2022-06-30,-6.2,106.75,0.3766
2022-07-01,-6.2,106.75,0.4082
2022-07-02,-6.2,106.75,0.5432
2022-07-04,-6.2,106.75,0.2066
2022-07-05,-6.2,106.75,0.2528
2022-07-07,-6.2,106.75,0.604
2022-07-08,-6.2,106.75,0.1232
2022-07-09,-6.2,106.75,0.2938
2022-07-10,-6.2,106.75,0.1344
2022-07-11,-6.2,106.75,0.37039998
2022-07-14,-6.2,106.75,0.6732
2022-07-15,-6.2,106.75,0.2756
2022-07-18,-6.2,106.75,0.3626
2022-07-19,-6.2,106.75,0.44939998
2022-07-20,-6.2,106.75,0.9384
2022-07-21,-6.2,106.75,0.3946
2022-07-22,-6.2,106.75,1.7179999
2022-07-23,-6.2,106.75,0.70059997
2022-07-24,-6.2,106.75,0.7818
2022-07-26,-6.2,106.75,0.76919997
2022-07-27,-6.2,106.75,0.5714
2022-07-28,-6.2,106.75,0.12799999
2022-07-29,-6.2,106.75,0.4344
2022-07-30,-6.2,106.75,0.8106
2022-07-31,-6.2,106.75,0.49319997
2022-08-01,-6.2,106.75,0.2488
